Significant	-Log(P-value)	Difference	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Symbol color	Symbol type	Symbol size	Show label	Only identified by site	Reverse	Potential contaminant	KRAS interactome	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	LFQ intensity 16	LFQ intensity 17	LFQ intensity 18	LFQ intensity 25	LFQ intensity 26	LFQ intensity 27
	1.18754720570477	-0.635026295979817	A0A087WTM1;Q9Y6N7-5;Q9Y6N7-4;Q9Y6N7-3;Q9Y6N7;Q9Y6N7-2;Q9Y6N7-6;A0A087WZ85;A0A0A0MSX4;H7C4Y7	A0A087WTM1	Roundabout homolog 1	ROBO1	38	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	34	34	32	26	26	24.4	175.85	0	271.91	11276000000	357	26.2361164093018	26.4169960021973	26.2342891693115	25.846851348877	25.9583683013916	25.1771030426025
	1.51959209978598	-0.825112660725914	A0A087WTP3;Q92945;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0QYG1;M0R0C6;M0R251;M0R263	A0A087WTP3	Far upstream element-binding protein 2	KHSRP	39	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	25	25	22	43.2	43.2	39.9	73.027	0	323.31	40963000000	614	27.3264598846436	27.6538982391357	27.3386669158936	26.8418216705322	26.8408622741699	26.161003112793
	0.238596798376028	-0.501324335734051	F8W6X9;A0A087WTQ6;Q7Z5N4-3;Q7Z5N4;H7C255	F8W6X9	Protein sidekick-1	SDK1	40	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	12	12	12	8.5	8.5	8.5	240	0	34.105	990730000	59	22.648998260498	21.930305480957	22.4404792785645	22.9037284851074	22.3387317657471	20.2733497619629
	0.323765600913405	0.101344426472981	A0A087WU64;A6NMQ1;P09884	A0A087WU64	DNA polymerase;DNA polymerase alpha catalytic subunit	POLA1	52	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	8	8	8	7.9	7.9	7.9	165.77	0	12.458	991800000	41	22.0738182067871	21.6844882965088	21.9005069732666	21.889965057373	21.9704265594482	22.1024551391602
	0.307650233121625	-0.659848531087238	F8W7C6;A0A087WV22;H7C123;H7C2C5;Q96L21;H7C2U2	F8W7C6		RPL10	70	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	19	2	2	65.6	7.4	7.4	18.565	0.0017713	2.2205	2720200000	38	23.5285034179688	23.7435531616211	23.7064075469971	21.3005867004395	23.5099029541016	24.1884288787842
	1.23439634637146	0.968255360921223	Q6ZSR9;A0A096LP25;A0A096LNZ0	Q6ZSR9	Uncharacterized protein FLJ45252	AAK1	162	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	5	5	5	23.1	23.1	23.1	37.976	0	68.067	898180000	65	20.5453834533691	20.8778495788574	21.3633518218994	22.3077754974365	22.025634765625	21.3579406738281
	0.423294640094345	0.40831184387207	A0A0A0MQX1;Q9HD67;D6RGD1;E9PEW5;Q9HD67-3;E9PCN3	A0A0A0MQX1	Unconventional myosin-X	MYO10	170	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 10	12	12	12	8.8	8.8	8.8	238.51	0	104.67	2069500000	90	22.810489654541	23.4834537506104	22.7901058197021	24.0968379974365	23.2651348114014	22.9470119476318
	1.29812896598794	-0.970235188802082	A0A0G2JLR5;A0A0G2JMW4;Q02833-3;Q02833-2;Q02833;H0YEI0;E9PM39;F8W7Q0;A0A0J9YYE4	A0A0G2JLR5	Ras association domain-containing protein 7	RASSF7	316	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 8	7	7	7	26.4	26.4	26.4	36.317	0	18.198	2645900000	107	24.0068435668945	24.2598304748535	23.9168872833252	23.1721725463867	23.6261138916016	22.4745693206787
	0.974579091387637	-0.615094502766926	A0A0G2JPP5;Q14160-3;A0A0G2JNZ2;Q14160;A0A0G2JMS7;Q14160-2;H0YCG0	A0A0G2JPP5	Protein scribble homolog	SCRIB	319	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	81	81	72	59.5	59.5	53.1	177.72	0	323.31	109000000000	1545	28.8160438537598	29.1300621032715	29.1064949035645	28.841402053833	28.4783477783203	27.8875675201416
	2.02709396042353	-0.731410344441731	A8MQ02;H0Y8L4;H0Y948;H0Y8U8;H0Y9I0;H0YA98;REV__H3BRR8;REV__O60476;REV__Q8IY82-2;REV__Q8IY82;Q9ULE0-2;Q9ULE0	A8MQ02		MLLT4	438	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	110	1	0	59.4	0.7	0	201.8	0	52.127	5065300000	73	24.8403339385986	24.8457984924316	25.1222629547119	24.2197799682617	24.4137077331543	23.980676651001
