Significant	-Log(P-value)	Difference	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Symbol color	Symbol type	Symbol size	Show label	Only identified by site	Reverse	Potential contaminant	KRAS interactome	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	LFQ intensity 16	LFQ intensity 17	LFQ intensity 18	LFQ intensity 34	LFQ intensity 35	LFQ intensity 36
+	3.4005051072329	-0.726516723632813	A0A087WTM1;Q9Y6N7-5;Q9Y6N7-4;Q9Y6N7-3;Q9Y6N7;Q9Y6N7-2;Q9Y6N7-6;A0A087WZ85;A0A0A0MSX4;H7C4Y7	A0A087WTM1	Roundabout homolog 1	ROBO1	38	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	34	34	32	26	26	24.4	175.85	0	271.91	11276000000	357	26.2361164093018	26.4169960021973	26.2342891693115	25.5839405059814	25.5164413452148	25.6074695587158
+	1.82908314426275	-0.644330978393555	A0A087WTP3;Q92945;M0R0I5;M0QYH3;M0QXW7;M0R3J3;M0QYG1;M0R0C6;M0R251;M0R263	A0A087WTP3	Far upstream element-binding protein 2	KHSRP	39	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	25	25	22	43.2	43.2	39.9	73.027	0	323.31	40963000000	614	27.3264598846436	27.6538982391357	27.3386669158936	26.7780628204346	26.6056900024414	27.0022792816162
	0.224706270834893	-0.423195521036785	F8W6X9;A0A087WTQ6;Q7Z5N4-3;Q7Z5N4;H7C255	F8W6X9	Protein sidekick-1	SDK1	40	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	12	12	12	8.5	8.5	8.5	240	0	34.105	990730000	59	22.648998260498	21.930305480957	22.4404792785645	20.5630054473877	22.9308109283447	22.2563800811768
	0.926049333526414	0.550975163777668	A0A087WU64;A6NMQ1;P09884	A0A087WU64	DNA polymerase;DNA polymerase alpha catalytic subunit	POLA1	52	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	8	8	8	7.9	7.9	7.9	165.77	0	12.458	991800000	41	22.0738182067871	21.6844882965088	21.9005069732666	22.1757545471191	22.9455661773682	22.1904182434082
	0.862983295507839	-2.27346738179525	F8W7C6;A0A087WV22;H7C123;H7C2C5;Q96L21;H7C2U2	F8W7C6		RPL10	70	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	19	2	2	65.6	7.4	7.4	18.565	0.0017713	2.2205	2720200000	38	23.5285034179688	23.7435531616211	23.7064075469971	19.579719543457	20.85986328125	23.7184791564941
+	1.28719248111652	1.0609982808431	Q6ZSR9;A0A096LP25;A0A096LNZ0	Q6ZSR9	Uncharacterized protein FLJ45252	AAK1	162	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	5	5	5	23.1	23.1	23.1	37.976	0	68.067	898180000	65	20.5453834533691	20.8778495788574	21.3633518218994	22.0270195007324	22.4983596801758	21.4442005157471
+	1.64910385400375	0.910059611002605	A0A0A0MQX1;Q9HD67;D6RGD1;E9PEW5;Q9HD67-3;E9PCN3	A0A0A0MQX1	Unconventional myosin-X	MYO10	170	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 10	12	12	12	8.8	8.8	8.8	238.51	0	104.67	2069500000	90	22.810489654541	23.4834537506104	22.7901058197021	24.0349826812744	24.0548210144043	23.7244243621826
+	1.82990109289782	-0.764136632283527	A0A0G2JLR5;A0A0G2JMW4;Q02833-3;Q02833-2;Q02833;H0YEI0;E9PM39;F8W7Q0;A0A0J9YYE4	A0A0G2JLR5	Ras association domain-containing protein 7	RASSF7	316	Color2 [A=255, R=169, G=169, B=169]	1	4					effector-class 8	7	7	7	26.4	26.4	26.4	36.317	0	18.198	2645900000	107	24.0068435668945	24.2598304748535	23.9168872833252	23.1708145141602	23.1144199371338	23.6059169769287
	1.38294941678791	-0.554810206095375	A0A0G2JPP5;Q14160-3;A0A0G2JNZ2;Q14160;A0A0G2JMS7;Q14160-2;H0YCG0	A0A0G2JPP5	Protein scribble homolog	SCRIB	319	Color2 [A=255, R=169, G=169, B=169]	1	4					Proximity	81	81	72	59.5	59.5	53.1	177.72	0	323.31	109000000000	1545	28.8160438537598	29.1300621032715	29.1064949035645	28.1818199157715	28.4791965484619	28.7271537780762
+	1.52485004330208	-0.643271764119465	A8MQ02;H0Y8L4;H0Y948;H0Y8U8;H0Y9I0;H0YA98;REV__H3BRR8;REV__O60476;REV__Q8IY82-2;REV__Q8IY82;Q9ULE0-2;Q9ULE0	A8MQ02		MLLT4	438	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	110	1	0	59.4	0.7	0	201.8	0	52.127	5065300000	73	24.8403339385986	24.8457984924316	25.1222629547119	24.0737361907959	24.1747798919678	24.6300640106201
+	2.8833176376357	-0.747225443522137	C9J0J7;G5E9Q6;P35080-2;C9JQ45	C9J0J7	Profilin;Profilin-2	PFN2	566	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	5	5	3	48.4	48.4	30.8	9.8402	0	55.564	2814700000	64	23.825611114502	23.880916595459	24.0179271697998	23.1204605102539	23.0587730407715	23.3035449981689
+	1.80447345455149	-0.998005549112957	C9J712;P35080;C9J2N0	C9J712	Profilin-2	PFN2	578	Color2 [A=255, R=169, G=169, B=169]	1	4					#N/A	4	2	2	38.5	20.9	20.9	9.7982	0	3.5087	413820000	14	21.4177684783936	21.1578311920166	21.2667083740234	19.9479274749756	20.1629085540771	20.737455368042
